id	name	description	synonyms
UBERON:0000002	uterine cervix	Lower, narrow portion of the uterus where it joins with the top end of the vagina.	["canalis cervicis uteri","caudal segment of uterus","cervical canal of uterus","cervix","cervix uteri","neck of uterus","uterine cervix"]
UBERON:0000007	pituitary gland	The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin.	["glandula pituitaria","Hp","pituitary","pituitary body"]
UBERON:0000029	lymph node	Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph.	[]
UBERON:0000056	ureter	Muscular duct that propels urine from the kidneys to the urinary bladder, or related organs.	[]
UBERON:0000059	large intestine	A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi.	[]
UBERON:0000160	intestine	Segment of the alimentary canal extending from the stomach to the anus and, in humans and other mammals, consists of two segments, the small intestine and the large intestine.	["bowel"]
UBERON:0000178	blood	A fluid that is composed of blood plasma and erythrocytes.	["portion of blood","vertebrate blood"]
UBERON:0000310	breast	The upper ventral region of the torso of an organism.	["mammary part of chest","mammary region"]
UBERON:0000358	blastocyst	The mammalian blastocyst is a hollow ball of cells containing two cell types, the inner cell mass and the trophectoderm.	[]
UBERON:0000473	testis	A gonad of a male animal. A gonad produces and releases sperm.	["gonad of male genitalia","gonad of male reproductive system","male gonad","testicle"]
UBERON:0000483	epithelium	Portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Examples: simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, myoepithelium.	["epithelial tissue","portion of epithelium"]
UBERON:0000922	embryo	Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant.	["embryonic organism"]
UBERON:0000945	stomach	An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium.	[]
